Train Loss		0.5613+-0.0015
Valid Loss		0.5721+-0.0087
x			Germline Variant	Somatic Variant	Normal
Train Accuracy		99.48+-0.1		99.36+-0.09		99.12+-0.12
Train Precision	98.87+-0.29		98.24+-0.26		99.38+-0.1
Train Recall		99.31+-0.13		98.82+-0.24		98.86+-0.21
Train F1 Score		99.08+-0.17		98.52+-0.2		99.12+-0.13
Valid Accuracy		98.76+-0.25		98.96+-0.67		98.04+-0.9
Valid Precision	98.75+-0.32		98.74+-0.23		97.38+-1.51
Valid Recall		97.08+-0.87		95.92+-3.51		99.11+-0.2
Valid F1 Score		97.88+-0.44		96.91+-2.13		98.17+-0.8
Valid AUCs		0.9903+-0.002		0.9975+-0.001		0.9923+-0.0013
