Train Loss		0.7077+-0.0758
Valid Loss		0.7046+-0.0744
x			Germline Variant	Somatic Variant	Normal
Train Accuracy		89.09+-6.74		93.02+-3.06		86.69+-6.1
Train Precision	91.93+-6.7		72.25+-12.95		80.77+-10.06
Train Recall		87.54+-7.59		68.93+-14.27		89.33+-9.42
Train F1 Score		85.2+-6.87		68.93+-14.27		83.83+-9.46
Valid Accuracy		88.69+-6.62		93.9+-2.79		86.78+-6.11
Valid Precision	92.13+-6.58		69.35+-14.36		80.71+-9.99
Valid Recall		86.18+-7.81		69.47+-14.38		89.68+-9.45
Valid F1 Score		84.48+-6.97		69.41+-14.37		84.02+-9.46
Valid AUCs		0.8498+-0.0934		0.8337+-0.0861		0.8209+-0.1044
